"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\authentication\jwt_auth.js", "JavaScript", 28, 0, 0, 0, 6, 5, 39
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\authentication\jwt_false_auth.js", "JavaScript", 23, 0, 0, 0, 7, 5, 35
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\authentication\passportConfig.js", "JavaScript", 43, 0, 0, 0, 7, 13, 63
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\authentication\utils.js", "JavaScript", 16, 0, 0, 0, 3, 2, 21
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\config.js", "JavaScript", 3, 0, 0, 0, 4, 2, 9
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\addtocart.js", "JavaScript", 17, 0, 0, 0, 8, 3, 28
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\createProducts.js", "JavaScript", 17, 0, 0, 0, 7, 3, 27
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\fetch_orders.js", "JavaScript", 22, 0, 0, 0, 8, 4, 34
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\generateEmail.js", "JavaScript", 122, 0, 0, 0, 1, 21, 144
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\getCategories.js", "JavaScript", 16, 0, 0, 0, 9, 4, 29
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\getProducts.js", "JavaScript", 16, 0, 0, 0, 8, 3, 27
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\lockInventory.js", "JavaScript", 34, 0, 0, 0, 18, 14, 66
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\lock_for_guest.js", "JavaScript", 35, 0, 0, 0, 18, 14, 67
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\loginPostHandler.js", "JavaScript", 40, 0, 0, 0, 6, 2, 48
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\paystack_callback.js", "JavaScript", 17, 0, 0, 0, 0, 2, 19
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\paystack_pay.js", "JavaScript", 24, 0, 0, 0, 22, 4, 50
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\registerPostHandler.js", "JavaScript", 26, 0, 0, 0, 2, 3, 31
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\search.js", "JavaScript", 16, 0, 0, 0, 1, 3, 20
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\controllers\viewOrder.js", "JavaScript", 17, 0, 0, 0, 13, 5, 35
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\Models\User.Model.js", "JavaScript", 23, 0, 0, 0, 1, 4, 28
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\Models\cart.Model.js", "JavaScript", 12, 0, 0, 0, 0, 3, 15
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\Models\category.Model.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\Models\color.Model.js", "JavaScript", 40, 0, 0, 0, 1, 6, 47
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\Models\guestOrder.Model.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\Models\locked.Model.js", "JavaScript", 21, 0, 0, 0, 0, 5, 26
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\Models\order.Model.js", "JavaScript", 14, 0, 0, 0, 0, 2, 16
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\Models\products.Model.js", "JavaScript", 46, 0, 0, 0, 1, 5, 52
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\cart.js", "JavaScript", 75, 0, 0, 0, 20, 13, 108
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\conn\index.js", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"c:\Users\HP\Documents\e-commerce-api\e-commerce-api\db\index.js", "JavaScript", 3, 0, 0, 0, 0, 3, 6
